NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COX7C	13584	0.4174783527851105	-0.3039143	No	
row_1	COX4I2	17071	0.15833602845668793	-0.37864652	No	
row_2	COX5A	17597	0.12352585792541504	-0.38355482	No	
row_3	COX4I1	19792	0.002396475523710251	-0.43678164	No	
row_4	COX7A2	30442	-0.0331248976290226	-0.69375974	No	
row_5	COX6B1	30757	-0.05359750613570213	-0.6979868	No	
row_6	COX6A1	31011	-0.06930166482925415	-0.6997298	No	
row_7	COX7B	31853	-0.13105644285678864	-0.7118468	No	
row_8	COX6C	31924	-0.13706524670124054	-0.704823	No	
row_9	CYCS	33481	-0.2693813443183899	-0.7255287	No	
row_10	COX6A2	35051	-0.4142957031726837	-0.7373241	No	
row_11	NDUFA4	38318	-0.9484603404998779	-0.7563971	Yes	
row_12	COX5B	38804	-1.1001616716384888	-0.69815046	Yes	
row_13	MT-CO1	40400	-2.3168227672576904	-0.58944577	Yes	
row_14	COX8A	40579	-2.6867659091949463	-0.42271185	Yes	
row_15	MT-CO2	40652	-2.8999128341674805	-0.23982805	Yes	
row_16	MT-CO3	40873	-3.944462299346924	0.0059607206	Yes	
